1;2.5;DistrictB;2024-10-01 10:00:00
2;1.0;DistrictB;2024-10-01 10:15:00
3;3.2;DistrictA;2024-10-01 11:00:00
4;4.0;DistrictC;2024-10-01 11:30:00
5;2.0;DistrictA;2024-10-01 12:00:00
6;1.5;DistrictB;2024-10-01 12:05:00
7;2.8;DistrictC;2024-10-01 12:15:00
8;3.5;DistrictA;2024-10-01 12:30:00
9;5.0;DistrictB;2024-10-01 13:00:00
10;1.2;DistrictA;2024-10-01 13:05:00
11;2.4;DistrictA;2024-10-01 13:10:00
12;3.0;DistrictA;2024-10-01 13:20:00
13;1.8;DistrictB;2024-10-01 13:25:00
14;4.5;DistrictC;2024-10-01 14:00:00
15;4.5;DistrictC;2024-10-01 14:05:00
16;3.3;DistrictC;2024-10-01 14:15:00
17;2.2;DistrictC;2024-10-01 14:30:00
18;5.1;DistrictA;2024-10-01 15:00:00
19;1.6;DistrictB;2024-10-01 15:05:00
20;4.0;DistrictB;2024-10-01 15:15:00
21;2.7;DistrictB;2024-10-01 15:30:00
